date,wti,senti
2014/06/13,2.74659477221963,-0.14358493440694
2014/07/11,2.67147308290303,-0.159936101113379
2014/07/18,2.59635600138606,-0.176276332077061
2014/07/25,2.52125195794985,-0.192599016636718
2014/08/01,2.44617332328623,-0.208884055766693
2014/08/08,2.37113778088588,-0.225108782306356
2014/08/15,2.29616716502015,-0.241247541318072
2014/08/22,2.22128690057891,-0.257277904639456
2014/08/29,2.14652641594567,-0.273174574095186
2014/09/05,2.07191857661934,-0.28889727326953
2014/09/12,1.99749996599311,-0.304386735941898
2014/09/19,1.92331132052218,-0.319580006316845
2014/09/26,1.84939730102319,-0.334419481695427
2014/10/03,1.77580761712351,-0.348856335733973
2014/10/10,1.70259702048827,-0.362839843575029
2014/10/17,1.62982539590922,-0.376320473349952
2014/10/24,1.55755640923439,-0.389256376506656
2014/10/31,1.4858557303785,-0.401615540987429
2014/11/07,1.41479102389329,-0.413367727535731
2014/11/14,1.34443221617372,-0.42448953179966
2014/11/21,1.27485052828881,-0.434960356368063
2014/11/28,1.20611815071873,-0.444762273031168
2014/12/05,1.13830821318937,-0.453877532479044
2014/12/12,1.07149383463449,-0.462298274501572
2014/12/19,1.00574601184574,-0.470030242036325
2014/12/26,0.941131088944912,-0.47708386789614
2015/01/02,0.877708594995013,-0.483483283035061
2015/01/09,0.815531717480551,-0.489250729795059
2015/01/16,0.754646627447524,-0.494415390245006
2015/01/23,0.695090615746286,-0.499020281691765
2015/01/30,0.636891724777862,-0.503114925998733
2015/02/06,0.580068927009759,-0.506753656441097
2015/02/13,0.52463217258273,-0.509994860718701
2015/02/20,0.47058530174947,-0.51290342730566
2015/02/27,0.417926718520808,-0.515542003790262
2015/03/06,0.366650133879925,-0.517974559994277
2015/03/13,0.316743837976507,-0.520257375398072
2015/03/20,0.268191532366354,-0.52244303725242
2015/03/27,0.220971345111503,-0.524584358533426
2015/04/03,0.175054534338951,-0.526734559389816
2015/04/10,0.130408135892655,-0.528943209160149
2015/04/17,0.0869953126112861,-0.531253708621071
2015/04/24,0.0447771591294716,-0.533699821567646
2015/05/01,0.0037145523612675,-0.536304912215442
2015/05/08,-0.0362306545872808,-0.53908917813874
2015/05/15,-0.0750944424035888,-0.542063510902479
2015/05/22,-0.112909594723188,-0.54523435251754
2015/05/29,-0.149705252725774,-0.548596305278233
2015/06/05,-0.185507019792575,-0.55213528872069
2015/06/12,-0.220337099120826,-0.555829942868695
2015/06/19,-0.254213380160086,-0.559651430703544
2015/06/26,-0.287148949058348,-0.56355587646573
2015/07/03,-0.319151927636121,-0.56750083430806
2015/07/10,-0.350225133943995,-0.571454148203156
2015/07/17,-0.38036690922895,-0.575377358064163
2015/07/24,-0.40957364322113,-0.579235726454374
2015/07/31,-0.437839902871568,-0.582987550981634
2015/08/07,-0.465159426423512,-0.586596057945877
2015/08/14,-0.491525557679628,-0.590019235611261
2015/08/21,-0.516932560747409,-0.593219483747693
2015/08/28,-0.541376274715491,-0.596157838916979
2015/09/04,-0.564854835949888,-0.598805819016335
2015/09/11,-0.587368785560943,-0.601139451436525
2015/09/18,-0.608917907407949,-0.60313564523957
2015/09/25,-0.62950184224402,-0.6047667925895
2015/10/02,-0.649119770894903,-0.606005812921973
2015/10/09,-0.667770225322513,-0.60682553790916
2015/10/16,-0.685451193182736,-0.607189369280451
2015/10/23,-0.702158307861948,-0.607054249562316
2015/10/30,-0.717885509950269,-0.606376420274441
2015/11/06,-0.732625630917817,-0.605117708207159
2015/11/13,-0.746370357073395,-0.60324490868247
2015/11/20,-0.759109704333253,-0.600723819453449
2015/11/27,-0.770833583239472,-0.597519524858703
2015/12/04,-0.78153261398164,-0.593596186088218
2015/12/11,-0.791197273163089,-0.58891613681031
2015/12/18,-0.799818533872522,-0.583445268651284
2015/12/25,-0.807389778333524,-0.577159590994878
2016/01/08,-0.813907318516312,-0.570041489390788
2016/01/15,-0.819369911167412,-0.562076513301331
2016/01/22,-0.823779706149488,-0.553259494165121
2016/01/29,-0.827144231659768,-0.543598253009911
2016/02/05,-0.829477067775345,-0.533111470454799
2016/02/12,-0.83079631000296,-0.52182152918017
2016/02/19,-0.831125007938201,-0.509752566810646
2016/02/26,-0.830492725794775,-0.496938899801123
2016/03/04,-0.828934596439305,-0.483411885987303
2016/03/11,-0.826490202184933,-0.469201936208
2016/03/18,-0.8232023874549,-0.454332872376713
2016/04/01,-0.819115696898608,-0.438823976759031
2016/04/08,-0.81427614483035,-0.422692850667221
2016/04/15,-0.808731296944869,-0.405958147795085
2016/04/22,-0.802530789410431,-0.388636697695037
2016/04/29,-0.795724379412645,-0.370749122005771
2016/05/06,-0.788361566447531,-0.352321661303308
2016/05/13,-0.780490284897602,-0.333378567263238
2016/05/20,-0.77215723684686,-0.313942270424705
2016/05/27,-0.763407345609039,-0.294026576271884
2016/06/03,-0.754282525320603,-0.273648324609614
2016/06/10,-0.744821256667717,-0.252827740995334
2016/06/17,-0.735058707476405,-0.231581807278321
2016/06/24,-0.725026168399786,-0.209934167992593
2016/07/01,-0.714752267386567,-0.187921240449149
2016/07/08,-0.704262490068076,-0.165584650956185
2016/07/15,-0.693579630381831,-0.142964008867493
2016/07/22,-0.682724940395978,-0.120100292161545
2016/07/29,-0.671718493759998,-0.097034372894142
2016/08/05,-0.660579690992117,-0.0738091132158063
2016/08/12,-0.64932865416573,-0.0504720930146997
2016/08/19,-0.637986970246129,-0.0270783827874655
2016/08/26,-0.626576638764048,-0.00368245869211858
2016/09/02,-0.615118116905671,0.0196618144014698
2016/09/09,-0.603630302172335,0.0429033199899305
2016/09/16,-0.592131749898631,0.0659939634852431
2016/09/23,-0.580640345379184,0.0888959918806723
2016/09/30,-0.569174205546636,0.111572586170884
2016/10/07,-0.557751647202176,0.133982355095795
2016/10/14,-0.546390191549381,0.156090816704691
2016/10/21,-0.535105257261053,0.177869346423552
2016/10/28,-0.523909786466856,0.199292842729588
2016/11/04,-0.512814241500119,0.220339705871944
2016/11/11,-0.501827193106468,0.24098899914124
2016/11/18,-0.49095746353527,0.261211630922634
2016/11/25,-0.480214497355762,0.280976721924651
2016/12/02,-0.469608339945496,0.300253266791295
2016/12/09,-0.459148380513954,0.319013693446983
2016/12/16,-0.448842896988691,0.337235289325219
2016/12/23,-0.438698097949637,0.354895093534993
2016/12/30,-0.428717720395826,0.371977979746038
2017/01/06,-0.418902791874172,0.388479823655192
2017/01/13,-0.409251055117572,0.40439029997216
2017/01/20,-0.399757304725802,0.419708096960344
2017/01/27,-0.390414093936763,0.434427813528955
2017/02/03,-0.381211928318459,0.448548003019297
2017/02/10,-0.372138690508977,0.462071265847663
2017/02/17,-0.363179605837808,0.475009803665319
2017/02/24,-0.354317543174371,0.4873778563751
2017/03/03,-0.345532923473135,0.499193332291318
2017/03/10,-0.336803376658194,0.510481176334038
2017/03/17,-0.328104035226557,0.521272441824019
2017/03/24,-0.319408951511817,0.531604836168463
2017/03/31,-0.310692359149388,0.541514287797504
2017/04/07,-0.301929066353685,0.5510369324333
2017/04/14,-0.293093790513005,0.56021385507045
2017/04/21,-0.284160242232832,0.569079388578334
2017/04/28,-0.275100230007564,0.577665980690669
2017/05/05,-0.265884788000448,0.586007667713971
2017/05/12,-0.256485119124503,0.594143057369678
2017/05/19,-0.246873735034121,0.602103578628758
2017/05/26,-0.237024603926876,0.60992376573774
2017/06/02,-0.226912125711304,0.617636183646027
2017/06/09,-0.216510605814711,0.625277557698512
2017/06/16,-0.205795311768016,0.632889015848838
2017/06/23,-0.194743527002557,0.640506040365627
2017/06/30,-0.183335270846084,0.648158706091266
2017/07/07,-0.171554462720127,0.655864911393428
2017/07/14,-0.159388242376177,0.663643381608442
2017/07/21,-0.146826649301437,0.671510348215417
2017/07/28,-0.133862706557609,0.679477070485938
2017/08/04,-0.12049206104694,0.687551712418326
2017/08/11,-0.106712115022772,0.695747147659663
2017/08/18,-0.0925215471424963,0.704069738998979
2017/08/25,-0.0779206195238178,0.712520979141985
2017/09/01,-0.0629120951760621,0.721092048846786
2017/09/08,-0.0475012302241432,0.729769358910836
2017/09/15,-0.0316964116117746,0.738537334511649
2017/09/22,-0.015508322547215,0.747376290203446
2017/09/29,0.00105017642144364,0.756257368910413
2017/10/06,0.0179644845407446,0.76516338616679
2017/10/13,0.0352189811680872,0.774088034127187
2017/10/20,0.0527960521959482,0.783027526211002
2017/10/27,0.0706763884838468,0.791979434433847
2017/11/03,0.0888391714000663,0.800935733994486
2017/11/10,0.107262391515735,0.809885518967967
2017/11/17,0.125923702071073,0.818823311899108
2017/11/24,0.144801546435188,0.827743821884034
2017/12/01,0.163874396871158,0.836635714364283
2017/12/08,0.183121150843387,0.845490242211728
2017/12/15,0.20252141040081,0.854295685093899
2017/12/22,0.222054927190669,0.863036356263936
2017/12/29,0.24170154811168,0.871699212425475
2018/01/05,0.261441415869136,0.880277783363409
2018/01/12,0.281255851137667,0.888767334048901
2018/01/19,0.30112780243605,0.897169479169302
2018/01/26,0.32104274706802,0.905493119235602
2018/02/02,0.340988833865395,0.91374378485499
2018/02/09,0.360957321675474,0.921926333428533
2018/02/16,0.3809425107661,0.9300496893264
2018/02/23,0.400939947783935,0.938122449523588
2018/03/02,0.420945508775554,0.946152228597228
2018/03/09,0.440956198351489,0.954157922624674
2018/03/16,0.460969915030516,0.962151067005649
2018/03/23,0.480985065997237,0.970137967694251
